1	PHÒNG_CHỐNG	Ny	B-PER	4	sub
1	Dịch_bệnh	N	O	3	sub
2	Covid-19	Ny	O	1	nmod
3	có	V	O	0	root
4	xu_hướng	N	O	3	dob
5	thuyên_giảm	V	O	4	nmod
6	tại	E	O	4	loc
7	châu_Âu	Np	B-LOC	6	pob
8	,	CH	O	3	punct
9	các	L	O	10	det
10	quốc_gia	N	O	7	nmod
11	tại	E	O	10	loc
12	khu_vực	N	O	11	pob
13	này	P	O	12	det
14	đang	R	O	26	adv
15	từng	P	O	16	det
16	bước	N	O	11	pob
17	thực_hiện	V	O	16	nmod
18	các	L	O	19	det
19	biện_pháp	N	O	17	dob
20	nới	V	O	19	nmod
21	lỏng	A	O	20	vmod
22	các	L	O	23	det
23	biện_pháp	N	O	20	dob
24	phòng	N	O	23	nmod
25	,	CH	O	23	punct
26	chống	V	O	3	vmod
27	dịch	N	O	26	dob
28	Covid-19	N	O	27	nmod
29	,	CH	O	3	punct
30	mở_cửa	V	O	3	vmod
31	biên_giới	N	O	30	dob
32	.	CH	O	3	punct
1	Trong	E	O	16	tmp
2	khi	N	O	1	pob
3	đó	P	O	2	det
4	tại	E	O	2	loc
5	châu_Mỹ	Np	B-LOC	4	pob
6	,	CH	O	5	punct
7	đặc_biệt	A	O	5	nmod
8	là	T	O	7	amod
9	Mỹ	Np	B-LOC	7	amod
10	và	Cc	O	9	coord
11	Brazil	Np	B-LOC	10	conj
12	,	CH	O	16	punct
13	tình_hình	N	O	16	sub
14	dịch_bệnh	N	O	13	nmod
15	vẫn	R	O	16	adv
16	diễn_biến	V	O	0	root
17	phức_tạp	A	O	16	vmod
18	với	E	O	16	vmod
19	sự	N	O	18	pob
20	gia_tăng	V	O	19	nmod
21	mạnh	A	O	20	vmod
22	số	N	O	19	nmod
23	mắc	V	O	22	nmod
24	và	Cc	O	16	coord
25	tử_vong	V	O	24	conj
26	mỗi	L	O	27	det
27	ngày	N	O	25	tmp
28	.	CH	O	16	punct
1	Đáng	V	O	0	root
2	chú_ý	V	O	1	vmod
3	,	CH	O	1	punct
4	tại	E	O	1	loc
5	châu_Á	Np	B-LOC	4	pob
6	đang	R	O	7	adv
7	gia_tăng	V	O	1	vmod
8	nguy_cơ	N	O	7	dob
9	xuất_hiện	V	O	8	nmod
10	làn_sóng	N	O	9	dob
11	thứ	N	O	10	nmod
12	2	M	O	11	det
13	dịch	N	O	10	nmod
14	Covid-19	N	O	10	nmod
15	tại	E	O	9	loc
16	một_số	L	O	17	det
17	quốc_gia	N	O	15	pob
18	.	CH	O	1	punct
1	Cụ_thể	A	O	24	adv
2	,	CH	O	24	punct
3	tại	E	O	24	loc
4	Trung_Quốc	Np	B-LOC	3	pob
5	sau	E	O	3	tmp
6	gần	A	O	8	nmod
7	2	M	O	8	det
8	tháng	N	O	5	pob
9	không	R	O	10	adv
10	có	V	O	8	nmod
11	ca	N	O	10	dob
12	lây_nhiễm	V	O	11	nmod
13	trong	E	O	12	loc
14	cộng_đồng	N	O	13	pob
15	,	CH	O	11	punct
16	thủ_đô	N	B-LOC	24	sub
17	Bắc_Kinh	Np	I-LOC	16	nmod
18	của	E	O	16	nmod
19	Trung_Quốc	Np	B-LOC	18	pob
20	vài	L	O	21	det
21	ngày	N	O	24	tmp
22	qua	V	O	21	nmod
23	đã	R	O	24	adv
24	trở_thành	V	O	0	root
25	“	M	O	26	det
26	điểm_nóng	N	O	24	dob
27	”	CH	O	24	punct
28	liên_quan	V	O	24	vmod
29	đến	E	O	28	vmod
30	chợ	N	O	29	pob
31	đầu_mối	N	O	30	nmod
32	thực_phẩm	N	O	31	nmod
33	.	CH	O	24	punct
1	Hiện	N	O	12	tmp
2	số	N	O	12	sub
3	ca	N	O	2	nmod
4	nhiễm	V	O	2	nmod
5	Covid-19	N	O	4	dob
6	liên_quan	V	O	5	nmod
7	đến	E	O	6	vmod
8	ổ	N	O	7	pob
9	dịch	N	O	8	nmod
10	này	P	O	8	det
11	đã	R	O	12	adv
12	lên	V	O	0	root
13	đến	T	O	16	nmod
14	hơn	A	O	16	nmod
15	100	M	O	16	det
16	người	N	O	12	dob
17	.	CH	O	12	punct
1	Chính_quyền	N	O	5	sub
2	thành_phố	N	B-LOC	1	nmod
3	Bắc_Kinh	Np	I-LOC	2	nmod
4	đã	R	O	5	adv
5	nâng_cấp	V	O	0	root
6	độ	N	O	5	dob
7	cảnh_báo	V	O	6	nmod
8	ứng_phó	V	O	7	vmod
9	khẩn_cấp	A	O	8	vmod
10	với	E	O	8	vmod
11	dịch	N	O	10	pob
12	Covid-19	N	O	11	nmod
13	,	CH	O	5	punct
14	huỷ	V	O	5	vmod
15	trên	E	O	14	loc
16	1.200	M	O	17	det
17	chuyến	N	O	15	pob
18	bay	V	O	17	nmod
19	,	CH	O	5	punct
20	đóng_cửa	V	O	5	vmod
21	trường_học	N	O	20	dob
22	,	CH	O	5	punct
23	khuyến_cáo	V	O	5	vmod
24	người_dân	N	O	23	dob
25	hạn_chế	V	O	23	vmod
26	di_chuyển	V	O	25	vmod
27	.	CH	O	5	punct
1	Tại	E	O	15	loc
2	Hàn_Quốc	Np	B-LOC	1	pob
3	,	CH	O	7	punct
4	trong	E	O	15	tmp
5	2	M	O	6	det
6	tuần	N	O	4	pob
7	qua	V	O	6	nmod
8	,	CH	O	9	punct
9	khu_vực	N	O	15	sub
10	Thủ_đô	N	B-LOC	9	nmod
11	Seoul	Np	I-LOC	10	nmod
12	và	Cc	O	10	coord
13	vùng	N	O	12	conj
14	phụ_cận	A	O	13	nmod
15	ghi_nhận	V	O	0	root
16	trung_bình	A	O	21	nmod
17	mỗi	M	O	18	det
18	ngày	N	O	16	tmp
19	có	V	O	15	vmod
20	36,5	M	O	21	det
21	ca	N	O	19	dob
22	nhiễm	V	O	21	nmod
23	mới	A	O	22	vmod
24	,	CH	O	15	punct
25	tăng	V	O	15	vmod
26	gần	A	O	25	vmod
27	gấp	V	O	26	vmod
28	đôi	N	O	27	det
29	so	V	O	27	vmod
30	với	E	O	29	vmod
31	hai	M	O	32	det
32	tuần	N	O	30	pob
33	cuối	N	O	32	nmod
34	tháng	N	O	33	nmod
35	5/2020.	M	O	34	det
36	Tại	E	O	25	loc
37	cuộc	Nc	O	36	pob
38	họp	V	O	37	nmod
39	,	CH	O	15	punct
40	các	L	O	41	det
41	thành_viên	N	O	51	sub
42	Ban	N	O	41	nmod
43	Chỉ_đạo	N	O	42	nmod
44	quốc_gia	N	O	43	nmod
45	phòng	N	O	44	nmod
46	,	CH	O	15	punct
47	chống	V	O	41	nmod
48	dịch	N	O	47	vmod
49	Covid-19	Ny	O	48	nmod
50	đã	R	O	51	adv
51	đánh_giá	V	O	15	vmod
52	tình_hình	N	O	51	dob
53	dịch_bệnh	N	O	52	nmod
54	trong	E	O	52	loc
55	nước	N	O	54	pob
56	,	CH	O	52	punct
57	khu_vực	N	O	52	nmod
58	và	Cc	O	51	coord
59	trên	E	O	54	pmod
60	thế_giới	N	O	59	pob
61	;	CH	O	15	punct
62	công_tác	N	O	58	conj
63	quản_lý	V	O	62	nmod
64	các	L	O	65	det
65	tuyến	N	O	63	dob
66	biên_giới	N	O	65	nmod
67	,	CH	O	15	punct
68	người	N	O	69	sub
69	nhập_cảnh	V	O	15	vmod
70	;	CH	O	15	punct
71	xem_xét	V	O	15	vmod
72	mở	V	O	71	vmod
73	lại	R	O	72	adv
74	một_số	L	O	75	det
75	đường_bay	N	O	72	dob
76	quốc_tế	N	O	75	nmod
77	;	CH	O	15	punct
78	nới	V	O	15	vmod
79	lỏng	N	O	78	dob
80	đi_lại	V	O	79	nmod
81	với	E	O	80	vmod
82	một_số	L	O	83	det
83	nước	N	O	81	pob
84	đã	R	O	85	adv
85	kiểm_soát	V	O	83	nmod
86	được	R	O	85	adv
87	dịch_bệnh	N	O	85	dob
88	Covid-19	Ny	O	87	nmod
89	;	CH	O	15	punct
90	đẩy_mạnh	V	O	15	vmod
91	xét_nghiệm	V	O	90	vmod
92	các	L	O	93	det
93	trường_hợp	N	O	90	dob
94	nghi_ngờ	V	O	93	nmod
95	;	CH	O	15	punct
96	tổ_chức	V	O	15	vmod
97	đưa	V	O	96	vmod
98	công_dân	N	O	97	dob
99	Việt_Nam	Np	B-LOC	98	nmod
100	về	V	O	97	dir
101	nước	N	O	100	loc
102	…	CH	O	15	punct
1	Tuy_nhiên	C	O	3	dep
2	,	CH	O	3	punct
3	diễn_biến	V	O	0	root
4	dịch_bệnh	N	O	3	dob
5	Covid-19	N	O	4	nmod
6	trên	E	O	4	loc
7	thế_giới	N	O	6	pob
8	hết_sức	R	O	9	amod
9	phức_tạp	A	O	3	prd
10	.	CH	O	3	punct
1	Trong	E	O	17	tmp
2	khi	N	O	1	pob
3	tâm_lý	N	O	17	sub
4	người_dân	N	O	3	nmod
5	và	Cc	O	3	coord
6	các	L	O	7	det
7	cơ_quan	N	O	5	conj
8	phòng	N	O	7	nmod
9	,	CH	O	17	punct
10	chống	V	O	2	nmod
11	dịch	N	O	10	vmod
12	trong	E	O	17	tmp
13	thời_gian	N	O	12	pob
14	gần	A	O	13	nmod
15	đây	P	O	14	amod
16	ít_nhiều	A	O	17	vmod
17	có	V	O	0	root
18	dấu_hiệu	N	O	17	dob
19	chững	V	O	18	nmod
20	lại	R	O	19	adv
21	.	CH	O	17	punct
1	GS.TS	Nc	O	7	sub
2	Nguyễn_Thanh_Long	Np	B-PER	1	nmod
3	,	CH	O	1	punct
4	Thứ_trưởng	N	O	1	nmod
5	Bộ	N	B-ORG	4	nmod
6	Y_tế	N	I-ORG	5	nmod
7	cho	V	O	0	root
8	biết	V	O	7	vmod
9	,	CH	O	7	punct
10	dù	C	O	7	coord
11	Việt_Nam	Np	B-LOC	12	sub
12	chuyển	V	O	10	conj
13	sang	V	O	12	vmod
14	trạng_thái	N	O	13	dob
15	bình_thường	A	O	14	nmod
16	mới	A	O	15	amod
17	,	CH	O	7	punct
18	thực_hiện	V	O	7	vmod
19	mục_tiêu	N	O	18	dob
20	kép	N	O	19	nmod
21	vừa	R	O	22	adv
22	chống	V	O	19	nmod
23	dịch	N	O	22	dob
24	Covid-19	N	O	23	nmod
25	,	CH	O	7	punct
26	vừa	R	O	27	adv
27	khôi_phục	V	O	7	vmod
28	phát_triển	V	O	27	vmod
29	kinh_tế	N	O	28	dob
30	,	CH	O	29	punct
31	xã_hội	N	O	29	nmod
32	,	CH	O	7	punct
33	nhưng	C	O	7	coord
34	nguy_cơ	N	O	39	sub
35	bùng_phát	V	O	34	nmod
36	dịch	N	O	35	vmod
37	trở_lại	V	O	36	nmod
38	rất	R	O	39	amod
39	cao	A	O	7	vmod
40	bởi	E	O	39	prp
41	nguồn	N	O	47	sub
42	bệnh	N	O	41	nmod
43	từ	E	O	41	loc
44	bên	N	O	43	pob
45	ngoài	N	O	44	nmod
46	có_thể	R	O	47	adv
47	tấn_công	V	O	40	dep
48	vào	E	O	47	loc
49	trong	E	O	48	pmod
50	nước	N	O	49	pob
51	bất_cứ	R	O	52	nmod
52	lúc_nào	P	O	48	pob
53	.	CH	O	7	punct
1	Thực_tế	N	O	11	sub
2	cho	E	O	0	root
3	thấy	V	O	2	vmod
4	làn_sóng	N	O	11	sub
5	thứ	N	O	4	nmod
6	2	M	O	5	det
7	của	E	O	4	nmod
8	dịch	N	O	7	pob
9	Covid-19	Ny	O	8	nmod
10	đã	R	O	11	adv
11	bùng_phát	V	O	0	root
12	ở	E	O	11	loc
13	nhiều	A	O	14	nmod
14	nước	N	O	12	pob
15	.	CH	O	11	punct
1	Ban	N	O	9	sub
2	Chỉ_đạo	N	O	1	nmod
3	quốc_gia	N	O	2	nmod
4	phòng	N	O	3	nmod
5	,	CH	O	1	punct
6	chống	V	O	1	nmod
7	dịch	N	O	6	vmod
8	Covid-19	N	O	7	nmod
9	đề_nghị	V	O	0	root
10	tất_cả	P	O	12	det
11	các	L	O	12	det
12	thành_viên	N	O	23	sub
13	rà_soát	V	O	12	nmod
14	lại	R	O	13	adv
15	toàn_bộ	L	O	17	det
16	các	L	O	17	det
17	công_việc	N	O	13	dob
18	,	CH	O	17	punct
19	nhiệm_vụ	N	O	17	nmod
20	được	V	O	19	nmod
21	giao	V	O	20	vmod
22	;	CH	O	9	punct
23	yêu_cầu	V	O	9	vmod
24	các	L	O	25	det
25	lực_lượng	N	O	23	dob
26	phòng	N	O	25	nmod
27	,	CH	O	23	punct
28	chống	V	O	23	vmod
29	dịch	N	O	28	dob
30	Covid-19	N	O	29	nmod
31	không	R	O	32	adv
32	được	V	O	23	vmod
33	chủ_quan	A	O	32	vmod
34	,	CH	O	9	punct
35	nơi	N	O	39	sub
36	lỏng	A	O	35	nmod
37	,	CH	O	9	punct
38	sẵn_sàng	A	O	39	vmod
39	ứng_phó	V	O	9	vmod
40	với	E	O	39	vmod
41	tình_huống	N	O	40	pob
42	mới	R	O	44	adv
43	có_thể	R	O	44	adv
44	xảy	V	O	41	nmod
45	ra	R	O	44	adv
46	.	CH	O	9	punct
1	Để	E	O	12	prp
2	bảo_vệ	V	O	1	vmod
3	những	L	O	4	det
4	thành_quả	N	O	2	dob
5	đã	R	O	6	adv
6	đạt	V	O	4	nmod
7	được	R	O	6	adv
8	trong	E	O	6	tmp
9	công_tác	N	O	8	pob
10	phòng	N	O	9	nmod
11	,	CH	O	6	punct
12	chống	V	O	0	root
13	dịch_bệnh	N	O	12	dob
14	Covid-19	N	O	13	nmod
15	,	CH	O	12	punct
16	tạo	V	O	12	vmod
17	điều_kiện	N	O	16	dob
18	phát_triển	V	O	17	nmod
19	kinh_tế	N	O	18	vmod
20	,	CH	O	12	punct
21	xã_hội	N	O	26	sub
22	trong	E	O	12	loc
23	nước	N	O	22	pob
24	,	CH	O	12	punct
25	cần	V	O	12	vmod
26	phải	V	O	25	vmod
27	tiếp_tục	V	O	26	vmod
28	siết	V	O	27	vmod
29	chặt	A	O	28	vmod
30	quản_lý	V	O	28	vmod
31	các	L	O	32	det
32	tuyến	N	O	30	dob
33	biên_giới	N	O	32	nmod
34	,	CH	O	28	punct
35	quản_lý	V	O	28	vmod
36	người	N	O	35	dob
37	nhập_cảnh	V	O	36	nmod
38	,	CH	O	12	punct
39	không	R	O	40	adv
40	để	V	O	12	vmod
41	dịch_bệnh	V	O	40	vmod
42	Covid-19	N	O	41	dob
43	lây_lan	V	O	42	nmod
44	trong	E	O	43	loc
45	cộng_đồng	N	O	44	pob
46	.	CH	O	12	punct
1	Đối_với	E	O	32	mnr
2	vấn_đề	N	O	1	pob
3	công_bố	V	O	2	nmod
4	hết	V	O	3	vmod
5	dịch	N	O	3	dob
6	,	CH	O	8	punct
7	Ban	N	O	15	sub
8	Chỉ_đạo	N	O	7	nmod
9	quốc_gia	N	O	8	nmod
10	phòng	N	O	9	nmod
11	,	CH	O	3	punct
12	chống	V	O	7	nmod
13	dịch	N	O	12	vmod
14	Covid-19	N	O	13	nmod
15	cho	V	O	3	vmod
16	rằng	C	O	20	dep
17	hiện	N	O	20	tmp
18	Việt_Nam	Np	B-LOC	17	nmod
19	vẫn	R	O	20	adv
20	còn	V	O	15	vmod
21	bệnh_nhân	N	O	20	dob
22	nhiễm	V	O	21	nmod
23	Covid-19	Ny	O	22	dob
24	đang	R	O	25	adv
25	được	V	O	15	vmod
26	điều_trị	V	O	25	vmod
27	;	CH	O	32	punct
28	đồng_thời	R	O	32	dep
29	,	CH	O	32	punct
30	chúng_ta	P	O	32	sub
31	cũng	R	O	32	adv
32	tiếp_tục	V	O	0	root
33	đưa	V	O	32	vmod
34	công_dân	N	O	33	dob
35	Việt_Nam	Np	B-LOC	34	nmod
36	về	V	O	33	dir
37	nước	N	O	36	loc
38	,	CH	O	32	punct
39	đưa	V	O	32	vmod
40	chuyên_gia	N	O	39	dob
41	,	CH	O	32	punct
42	người	N	O	49	sub
43	lao_động	V	O	42	nmod
44	kỹ_thuật	N	O	43	vmod
45	cao	A	O	40	nmod
46	nước_ngoài	N	O	45	amod
47	vào	E	O	42	loc
48	Việt_Nam	Np	B-LOC	47	pob
49	làm_việc	V	O	32	dep
50	,	CH	O	32	punct
51	nên	C	O	32	coord
52	vấn_đề	N	O	56	sub
53	công_bố	V	O	52	nmod
54	hết	V	O	53	vmod
55	dịch	N	O	53	dob
56	cần	V	O	51	conj
57	hết_sức	R	O	58	adv
58	cân_nhắc	V	O	56	vmod
59	.	CH	O	32	punct
1	Về	E	O	5	tpc
2	quản_lý	V	O	1	vmod
3	người	N	O	2	dob
4	nhập_cảnh	V	O	3	nmod
5	là	V	O	0	root
6	các	L	O	7	det
7	nhà	N	O	5	dob
8	ngoại_giao	N	O	7	nmod
9	,	CH	O	7	punct
10	quan_chức	N	O	7	nmod
11	cao_cấp	A	O	10	nmod
12	,	CH	O	7	punct
13	nhà_đầu_tư	N	O	7	nmod
14	,	CH	O	5	punct
15	những	L	O	16	det
16	người	N	O	19	sub
17	này	P	O	16	det
18	chỉ	R	O	19	adv
19	nhập_cảnh	V	O	5	dep
20	vào	E	O	19	loc
21	Việt_Nam	Np	B-LOC	20	pob
22	trong	E	O	19	tmp
23	thời_gian	N	O	22	pob
24	ngắn	A	O	23	nmod
25	để	E	O	19	prp
26	xử_lý	V	O	25	vmod
27	công_vụ	N	O	26	dob
28	,	CH	O	19	punct
29	đàm_phán	V	O	19	vmod
30	,	CH	O	19	punct
31	ký_kết	V	O	19	vmod
32	hợp_đồng	N	O	31	dob
33	đầu_tư	V	O	32	nmod
34	,	CH	O	32	punct
35	thương_mại	N	O	32	nmod
36	,	CH	O	32	punct
37	Ban	N	O	32	nmod
38	Chỉ_đạo	N	O	37	nmod
39	giao	V	O	19	prp
40	Thứ_trưởng	N	O	39	dob
41	Bộ	N	B-ORG	40	nmod
42	Ngoại_giao	N	I-ORG	41	nmod
43	Tô_Anh_Dũng	Np	B-PER	41	nmod
44	làm	V	O	39	iob
45	tổ_trưởng	N	O	44	dob
46	tổ	N	O	45	nmod
47	công_tác	V	O	45	nmod
48	phối_hợp	V	O	47	vmod
49	với	E	O	48	vmod
50	các	L	O	51	det
51	đơn_vị	N	O	49	pob
52	liên_quan	V	O	51	nmod
53	,	CH	O	48	punct
54	rà_soát	V	O	48	vmod
55	,	CH	O	48	punct
56	xây_dựng	V	O	48	vmod
57	các	L	O	58	det
58	quy_định	V	O	56	dob
59	để	E	O	58	prp
60	tổ_chức	V	O	59	vmod
61	các	L	O	62	det
62	khu_vực	N	O	60	dob
63	riêng_biệt	A	O	62	nmod
64	,	CH	O	60	punct
65	đảm_bảo	V	O	60	vmod
66	các	L	O	67	det
67	điều_kiện	N	O	65	dob
68	về	E	O	67	nmod
69	an_toàn	A	O	68	dep
70	dịch_tễ	N	O	69	amod
71	,	CH	O	69	punct
72	phòng	N	O	83	sub
73	xét_nghiệm	V	O	72	nmod
74	để	E	O	73	prp
75	phục_vụ	V	O	74	vmod
76	các	L	O	77	det
77	nhà	N	O	75	dob
78	ngoại_giao	N	O	77	nmod
79	,	CH	O	77	punct
80	nhà_đầu_tư	N	O	77	nmod
81	,	CH	O	77	punct
82	doanh_nhân	N	O	77	nmod
83	vào	V	O	85	prd
84	làm_việc	V	O	83	vmod
85	.	CH	O	5	punct
1	Đến	E	O	7	tmp
2	thời_điểm	N	O	1	pob
3	hiện_tại	N	O	2	nmod
4	,	CH	O	7	punct
5	Việt_Nam	Np	B-LOC	7	sub
6	đã	R	O	7	adv
7	đưa	V	O	0	root
8	hơn	A	O	10	nmod
9	8.000	M	O	10	det
10	công_dân	N	O	7	dob
11	về	V	O	10	nmod
12	nước	N	O	11	loc
13	;	CH	O	7	punct
14	thời_gian	N	O	17	tmp
15	tới	V	O	14	nmod
16	sẽ	R	O	17	adv
17	tiếp_tục	V	O	7	vmod
18	thực_hiện	V	O	17	vmod
19	công_tác	N	O	18	dob
20	bảo_hộ	V	O	19	nmod
21	công_dân	N	O	19	nmod
22	trong	E	O	18	tmp
23	thời_gian	N	O	22	pob
24	tới	V	O	23	nmod
25	theo	V	O	24	vmod
26	quy_định	V	O	25	vmod
27	và	Cc	O	23	coord
28	tình_hình	N	O	27	conj
29	thực_tiễn	N	O	28	nmod
30	.	CH	O	7	punct
1	Cũng	R	O	2	dep
2	tại	E	O	8	loc
3	cuộc	N	O	2	pob
4	họp	V	O	3	nmod
5	,	CH	O	8	punct
6	Ban	N	O	8	sub
7	Chỉ_đạo	N	O	6	nmod
8	bàn_thảo	V	O	0	root
9	,	CH	O	8	punct
10	thống_nhất	V	O	8	vmod
11	để	E	O	8	prp
12	báo_cáo	V	O	11	vmod
13	cấp	N	O	12	dob
14	có	V	O	13	nmod
15	thẩm_quyền	N	O	14	dob
16	xem_xét	V	O	15	nmod
17	nối	V	O	16	vmod
18	lại	R	O	17	adv
19	đường_bay	N	O	17	dob
20	thương_mại	N	O	19	nmod
21	đối_với	E	O	19	nmod
22	một_số	L	O	23	det
23	quốc_gia	N	O	21	pob
24	,	CH	O	23	punct
25	vùng	N	O	23	nmod
26	lãnh_thổ	N	O	25	nmod
27	hiện	N	O	30	tmp
28	cơ_bản	A	O	25	nmod
29	đã	R	O	30	adv
30	khống_chế	V	O	28	dep
31	được	V	O	30	vmod
32	dịch_bệnh	V	O	31	vmod
33	và	Cc	O	30	coord
34	có	V	O	33	conj
35	quan_hệ	N	O	34	dob
36	sâu_rộng	V	O	35	nmod
37	nhiều	A	O	38	nmod
38	mặt	N	O	36	dob
39	với	E	O	35	nmod
40	Việt_Nam	Np	B-LOC	39	pob
41	...	CH	O	8	punct
1	Quang_Hải	Np	B-PER	0	root
2	-	CH	O	1	punct
3	Mai_Trang	Np	B-PER	1	nmod
4	Nguyễn_Thị	Np	B-PER	1	nmod
5	Vân	Np	I-PER	1	nmod
