1	U	Ny	O	4	sub
5	phổ_biến	V	O	4	nmod
6	ở	E	O	4	nmod
7	nam_giới	N	O	6	pob
8	tuổi	N	O	7	nmod
9	ngoài	E	O	4	nmod
10	tứ_tuần	N	O	9	pob
11	.	CH	O	3	punct
1	Dù	C	O	2	dep
2	là	V	O	0	root
3	căn_bệnh	N	O	2	dob
4	không	R	O	5	amod
5	nguy_hiểm	A	O	3	nmod
6	đến	E	O	5	amod
7	tính_mạng	N	O	6	pob
8	nhưng	C	O	2	coord
9	nó	P	O	10	sub
10	mang	V	O	8	conj
11	đến	R	O	10	adv
12	nhiều	A	O	10	vmod
13	bất_tiện	A	O	12	amod
14	...	CH	O	2	punct
1	Những	L	O	2	det
2	triệu_chứng	N	O	6	sub
3	u_xơ	N	O	2	nmod
4	tiền_liệt_tuyến	N	O	2	nmod
5	thường	R	O	6	adv
6	gặp	V	O	0	root
7	Bệnh	N	O	6	dob
8	u_xơ	N	O	7	nmod
9	tiền_liệt_tuyến	N	O	8	nmod
10	(	CH	O	6	punct
11	hay	C	O	6	coord
12	còn	R	O	13	adv
13	gọi	V	O	11	conj
14	là	C	O	13	vmod
15	bệnh	N	O	13	dob
16	phì	N	O	15	nmod
17	đại	Z	O	18	nmod
18	tiền_liệt_tuyến	N	O	15	nmod
19	)	CH	O	6	punct
20	là	V	O	6	vmod
21	bệnh	N	O	20	vmod
22	phổ_biến	V	O	21	nmod
23	nhất	R	O	22	adv
24	ở	E	O	22	loc
25	nam_giới	N	O	24	pob
26	cao_tuổi	A	O	25	nmod
27	.	CH	O	6	punct
1	Nam_giới	N	O	7	sub
2	ở	E	O	1	nmod
3	tuổi	N	O	2	pob
4	40	M	O	3	det
5	tỷ_lệ	N	O	3	nmod
6	mắc	V	O	5	nmod
7	là	V	O	0	root
8	18%	M	O	7	vmod
9	....	CH	O	7	punct
1	Điều_trị	V	O	0	root
2	phì	N	O	1	dob
3	đại	V	O	2	nmod
4	tuyến_tiền_liệt	N	O	3	dob
5	theo	V	O	1	vmod
6	y_học	N	O	5	pob
7	hiện_đại	A	O	6	nmod
8	Bệnh	N	O	5	pob
9	phì	N	O	8	nmod
10	đại	V	O	8	nmod
11	tuyến_tiền_liệt	N	O	10	dob
12	là	V	O	1	vmod
13	một	M	O	12	vmod
14	trong	E	O	13	pmod
15	các	L	O	16	det
16	vấn_đề	N	O	14	pob
17	gặp	V	O	16	nmod
18	phải	V	O	17	vmod
19	trong	E	O	18	vmod
20	quá_trình	N	O	19	pob
21	lão_hoá	V	O	20	nmod
22	của	E	O	20	nmod
23	cơ_thể	N	O	22	pob
24	ở	E	O	20	loc
25	nam_giới	N	O	24	pob
26	.	CH	O	1	punct
1	Phì	N	O	6	sub
2	đại	A	O	1	nmod
3	tuyến_tiền_liệt	N	O	2	amod
4	nếu	C	O	6	dep
5	không	R	O	6	adv
6	được	V	O	0	root
7	...	CH	O	6	punct
1	Điều_trị	V	O	0	root
2	phì	N	O	1	dob
3	đại	Z	O	4	nmod
4	tuyến_tiền_liệt	N	O	2	nmod
5	bằng	E	O	2	mnr
6	thảo_dược	N	O	5	pob
7	Các	L	O	8	det
8	nhà_khoa_học	N	O	6	nmod
9	hàng_đầu	N	O	8	nmod
10	trên	E	O	8	loc
11	thế_giới	N	O	10	pob
12	và	Cc	O	1	coord
13	Việt_Nam	Np	B-LOC	11	nmod
14	đã	R	O	15	adv
15	nghiên_cứu	V	O	12	conj
16	về	E	O	15	vmod
17	điều_trị	V	O	16	vmod
18	phì	N	O	17	dob
19	đại	Z	O	20	nmod
20	tuyến_tiền_liệt	N	O	18	nmod
21	bằng	E	O	18	mnr
22	thảo_dược	N	O	21	pob
23	,	CH	O	15	punct
24	chứng_minh	V	O	15	vmod
25	tính	N	O	24	dob
26	hiệu_quả	N	O	25	nmod
27	của	E	O	25	nmod
28	...	CH	O	1	punct
